Title,Type,Series,Publisher,Year,ISSN,ISBN,DOI,Affiliation
More Than Information Access: A Cognitive Work Analysis On Physician-Pharmacist Collaboration Through Electronic Medical Records,journal-article,Proceedings of the International Symposium on Human Factors and Ergonomics in Health Care,SAGE Publications,2018,2327-8595,,https://doi.org/10.1177/2327857918071005,"Department of Biomedical Engineering, University of Waterloo"
"Vegetation Canopy and Radiation Controls on Permafrost Plateau Evolution within the Discontinuous Permafrost Zone, Northwest Territories, Canada",journal-article,Permafrost and Periglacial Processes,Wiley,2011,1045-6740,,https://doi.org/10.1002/ppp.724,Department of Geography; University of Waterloo; Waterloo; ON; Canada
Time Course of Changes in Tear Meniscus Radius and Blink Rate After Instillation of Artificial Tears,journal-article,Investigative Opthalmology & Visual Science,Association for Research in Vision and Ophthalmology (ARVO),2014,1552-5783,,https://doi.org/10.1167/iovs.14-14844,"University of Waterloo, School of Optometry and Vision Science, Waterloo, Canada"
Determination of the effective thermal conductivity of gas diffusion layers in polymer electrolyte membrane fuel cells: a comprehensive fractal approach,journal-article,International Journal of Energy Research,Wiley,2011,0363-907X,,https://doi.org/10.1002/er.1896,Department of Mechanical and Mechatronics Engineering; University of Waterloo; Waterloo; Ontario; Canada; N2L 3G1
Estimates of changes in design rainfall values for Canada,journal-article,Hydrological Processes,Wiley,2012,0885-6087,,https://doi.org/10.1002/hyp.9238,Department of Civil and Environmental Engineering; University of Waterloo; 200 University Avenue West; Waterloo; ON; N2L 3G1; CANADA
Effect of Column Type on Polyolefin Fractionation by High-Temperature Thermal Gradient Interaction Chromatography,journal-article,Macromolecular Symposia,Wiley,2015,1022-1360,,https://doi.org/10.1002/masy.201400202,Department of Chemical Engineering; University of Waterloo; Waterloo Ontario Canada N2L 3G1
Channel estimation algorithms for cooperative spectrum sensing in amplify-and-forward cooperative system,journal-article,Wireless Communications and Mobile Computing,Wiley,2012,1530-8669,,https://doi.org/10.1002/wcm.2307,Department of Electrical and Computer Engineering; University of Waterloo; Waterloo Canada
Dosimetry of small bone joint calculated by the analytical anisotropic algorithm: a Monte Carlo evaluation using the EGSnrc,journal-article,Journal of Applied Clinical Medical Physics,Wiley,2017,1526-9914,,https://doi.org/10.1120/jacmp.v15i1.4588,Physics Department; University of Waterloo; Waterloo ON Canada
ALPP: anonymous and location privacy preserving scheme for mobile IPv6 heterogeneous networks,journal-article,Security and Communication Networks,Wiley,2012,1939-0114,,https://doi.org/10.1002/sec.625,Department of Electrical and Computer Engineering; University of Waterloo; Waterloo; Canada
Automatic particle detection and sorting in an electrokinetic microfluidic chip,journal-article,ELECTROPHORESIS,Wiley,2012,0173-0835,,https://doi.org/10.1002/elps.201200416,Department of Mechanical and Mechatronics Engineering; University of Waterloo; Waterloo; ON; Canada
Risk for Maternal Depressive Symptoms and Perceived Stress by Ethnicities in Canada: From Pregnancy Through the Preschool Years,journal-article,The Canadian Journal of Psychiatry,SAGE Publications,2018,0706-7437,,https://doi.org/10.1177/0706743718792190,"Department of Geography and Environmental Management, University of Waterloo, Ontario, Canada"
Policy mix: mess or merit?,journal-article,Journal of Environmental Economics and Policy,Informa UK Limited,2018,2160-6544,,https://doi.org/10.1080/21606544.2018.1494636,"Department of Economics and the Water Institute, University of Waterloo, Waterloo, Canada"
OP15.09: Acute ovarian torsion: the impact of time delays to surgery,journal-article,Ultrasound in Obstetrics & Gynecology,Wiley,2015,0960-7692,,https://doi.org/10.1002/uog.15245,Faculty of Engineering; University of Waterloo; Toronto ON Canada
Combining Inverse Probability Weighting and Multiple Imputation to Improve Robustness of Estimation,journal-article,Scandinavian Journal of Statistics,Wiley,2015,0303-6898,,https://doi.org/10.1111/sjos.12177,Department of Statistics and Actuarial Science; University of Waterloo
A unified empirical likelihood approach for testing MCAR and subsequent estimation,journal-article,Scandinavian Journal of Statistics,Wiley,2018,0303-6898,,https://doi.org/10.1111/sjos.12351,Department of Statistics and Actuarial Science; University of Waterloo; Waterloo Ontario Canada
Recent changes in patterns of western Canadian river flow and association with climatic drivers,journal-article,Hydrology Research,IWA Publishing,2015,0029-1277,,https://doi.org/10.2166/nh.2014.032,"Department of Civil & Environmental Engineering, University of Waterloo, Waterloo, ON, Canada N2L 3G1"
A Systematic Computer-Aided Product Design and Development Procedure: Case of Disinfectant Formulations,journal-article,Industrial & Engineering Chemistry Research,American Chemical Society (ACS),2012,0888-5885,,https://doi.org/10.1021/ie300644f,"Department of Chemical Engineering, University of Waterloo, Waterloo, Canada"
"Light emitting diode, photodiode-based fluorescence detection system for DNA analysis with microchip electrophoresis",journal-article,ELECTROPHORESIS,Wiley,2015,0173-0835,,https://doi.org/10.1002/elps.201500355,Department of Electrical and Computer Engineering; University of Waterloo; ON Canada
Analytic elements for flow in harmonically heterogeneous aquifers,journal-article,Water Resources Research,American Geophysical Union (AGU),2009,0043-1397,,https://doi.org/10.1029/2009wr007800,"Department of Civil and Environmental Engineering; University of Waterloo; Waterloo, Ontario Canada"
Are all runoff processes the same? Numerical experiments comparing a Darcy-Richards solver to an overland flow-based approach for subsurface storm runoff simulation,journal-article,Water Resources Research,American Geophysical Union (AGU),2015,0043-1397,,https://doi.org/10.1002/2015wr017199,Department of Civil and Environmental Engineering; University of Waterloo; Waterloo Ontario Canada
Performance assessment of low-order versus high-order numerical schemes in the numerical simulation of aquifer flow,journal-article,Hydrology Research,IWA Publishing,2016,0029-1277,,https://doi.org/10.2166/nh.2016.148,"Department of Civil and Environmental Engineering, University of Waterloo, Waterloo, Ontario, Canada"
Investigation of splashing phenomena during the impact of molten sub-micron gold droplets on solid surfaces,journal-article,Soft Matter,Royal Society of Chemistry (RSC),2015,1744-683X,,https://doi.org/10.1039/c5sm00997a,University of Waterloo
"A Canadian viewpoint on data, information and uncertainty in the context of prediction in ungauged basins",journal-article,Hydrology Research,IWA Publishing,2013,0029-1277,,https://doi.org/10.2166/nh.2012.055,"University of Waterloo, Waterloo, Canada"
Downscaling of precipitation on a lake basin: evaluation of rule and decision tree induction algorithms,journal-article,Hydrology Research,IWA Publishing,2012,0029-1277,,https://doi.org/10.2166/nh.2012.040,"Department of Civil and Environmental Engineering, University of Waterloo, Waterloo N2L3G1, Canada and Department of Civil and Environmental Engineering, Nanyang Technological University, Singapore 639798, Singapore"
"Fluxes of As, Cu, Hg, Pb in lake sediments in the Coppermine River basin, Canada",journal-article,Hydrology Research,IWA Publishing,2007,0029-1277,,https://doi.org/10.2166/nh.2007.006,"School of Planning and Department of Geography, University of Waterloo, 200 University Avenue, Waterloo, Ontario N2L 3G1, Canada"
Harnessing the power of quantum systems based on spin magnetic resonance: from ensembles to single spins,journal-article,Advances in Physics: X,Informa UK Limited,2016,2374-6149,,https://doi.org/10.1080/23746149.2016.1266914,"Institute for Quantum Computing and Department of Physics and Astronomy, University of Waterloo, Waterloo, Canada."
Magnetic flocculation for nanoparticle separation and catalyst recycling,journal-article,Environmental Science: Nano,Royal Society of Chemistry (RSC),2018,2051-8153,,https://doi.org/10.1039/c7en00827a,University of Waterloo
"Robust economic model predictive control: disturbance rejection, robustness and periodic operation in chemical reactors",journal-article,Engineering Optimization,Informa UK Limited,2018,0305-215X,,https://doi.org/10.1080/0305215x.2018.1497617,"Department of Chemical Engineering, University of Waterloo, Waterloo, ON, Canada"
Lipase-catalyzed esterification of glycerol and n-3 polyunsaturated fatty acid concentrate in organic solvent,journal-article,Journal of the American Oil Chemists' Society,Wiley,2007,0003-021X,,https://doi.org/10.1007/bf02542594,; Department of Biology; University of Waterloo; Waterloo Ontario N2L 3G1 Canada
An Epidemiological Study of Substance Use Disorders Among Emerging and Young Adults,journal-article,The Canadian Journal of Psychiatry,SAGE Publications,2018,0706-7437,,https://doi.org/10.1177/0706743718792189,"School of Public Health and Health Systems, University of Waterloo, Waterloo, Ontario, Canada"
Low- and high-gamma oscillations deviate in opposite directions from zero-phase synchrony in the limbic corticostriatal loop,journal-article,Journal of Neurophysiology,American Physiological Society,2016,0022-3077,,https://doi.org/10.1152/jn.00914.2015,"Department of Biology and Centre for Theoretical Neuroscience, University of Waterloo, Ontario, Canada; and"
Inherited clast dispersal patterns: Implications for palaeoglaciology of the SE Keewatin Sector of the Laurentide Ice Sheet,journal-article,Boreas,Wiley,2012,0300-9483,,https://doi.org/10.1111/j.1502-3885.2012.00308.x,Department of Earth and Environmental Sciences; University of Waterloo; 200 University Ave West; Waterloo; Ontario; Canada; N2L 3G1
Catalyst Self-Assembly for Scalable Patterning of Sub 10 nm Ultrahigh Aspect Ratio Nanopores in Silicon,journal-article,ACS Applied Materials & Interfaces,American Chemical Society (ACS),2016,1944-8244,,https://doi.org/10.1021/acsami.6b01927,"Departmentof Chemical Engineering, University of Waterloo, 200 University Avenue West, Waterloo, Ontario N2L 6G9, Canada"
Sheathless electrokinetic particle separation in a bifurcating microchannel,journal-article,Biomicrofluidics,AIP Publishing,2016,1932-1058,,https://doi.org/10.1063/1.4962875,"Department of Mechanical and Mechatronics Engineering, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada"
A Toolbox for Rapid Quantitative Assessment of Chronological Lifespan and Survival inSaccharomyces cerevisiae,journal-article,Traffic,Wiley,2016,1398-9219,,https://doi.org/10.1111/tra.12391,Department of Applied Mathematics; University of Waterloo; Waterloo N2L 3G1 Canada
Comparison of Health State Utility Measures in Patients With Head and Neck Cancer,journal-article,JAMA Otolaryngology–Head & Neck Surgery,American Medical Association (AMA),2015,2168-6181,,https://doi.org/10.1001/jamaoto.2015.1314,"Department of Biostatistics, University Health Network, Toronto, Ontario, Canada3Department of Statistics and Actuarial Science, University of Waterloo, Waterloo, Ontario, Canada"
"Development, validation, and parameter sensitivity analyses of a nonlinear mathematical model of air springs",journal-article,Journal of Vibration and Control,SAGE Publications,2011,1077-5463,,https://doi.org/10.1177/1077546311426250,"Department of Chemical Engineering, University of Waterloo, ON, Canada"
In Situ NMR Observation of the Temporal Speciation of Lithium Sulfur Batteries during Electrochemical Cycling,journal-article,The Journal of Physical Chemistry C,American Chemical Society (ACS),2017,1932-7447,,https://doi.org/10.1021/acs.jpcc.7b01922,"Departmentof Chemistry, University of Waterloo, 200 University Avenue West, Waterloo, Ontario N2L 3G1, Canada"
Platinum-Palladium Core-Shell Nanoflower Catalyst with Improved Activity and Excellent Durability for the Oxygen Reduction Reaction,journal-article,Advanced Materials Interfaces,Wiley,2018,2196-7350,,https://doi.org/10.1002/admi.201701508,Department of Chemical Engineering; University of Waterloo; 200 University Ave. W Waterloo Ontario N2L 3G1 Canada
Dynamics of Nitric Oxide Synthase–Calmodulin Interactions at Physiological Calcium Concentrations,journal-article,Biochemistry,American Chemical Society (ACS),2015,0006-2960,,https://doi.org/10.1021/bi501353s,"Department of Chemistry, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada"
Robust Algorithms for Simultaneous Model Identification and Optimization in the Presence of Model-Plant Mismatch,journal-article,Industrial & Engineering Chemistry Research,American Chemical Society (ACS),2015,0888-5885,,https://doi.org/10.1021/acs.iecr.5b01560,"Department of Chemical Engineering, University of Waterloo, Waterloo, Ontario, Canada N2L3G1"
